"","atlas","id","name","neocortex","striatum","hippocampus","white_matter","side","name_bilateral"
"72","waxholm",99,"fasciola cinereum","no","no","yes","no","right","ri_fasciola cinereum"
"73","waxholm",100,"subiculum","no","no","yes","no","right","ri_subiculum"
"74","waxholm",108,"postrhinal cortex","no","no","no","no","right","ri_postrhinal cortex"
"75","waxholm",109,"presubiculum","no","no","no","no","right","ri_presubiculum"
"76","waxholm",110,"parasubiculum","no","no","no","no","right","ri_parasubiculum"
"77","waxholm",112,"perirhinal area 35","no","no","no","no","right","ri_perirhinal area 35"
"78","waxholm",113,"perirhinal area 36","no","no","no","no","right","ri_perirhinal area 36"
"79","waxholm",114,"entorhinal cortex","no","no","no","no","right","ri_entorhinal cortex"
"80","waxholm",115,"lateral entorhinal cortex","no","no","no","no","right","ri_lateral entorhinal cortex"
"81","waxholm",116,"descending corticofugal pathways","no","no","no","no","left","le_descending corticofugal pathways"
"82","waxholm",117,"substantia nigra","no","no","no","no","left","le_substantia nigra"
"83","waxholm",118,"subthalamic nucleus","no","no","no","no","left","le_subthalamic nucleus"
"84","waxholm",119,"molecular layer of the cerebellum","no","no","no","no","left","le_molecular layer of the cerebellum"
"85","waxholm",120,"granule cell level of the cerebellum","no","no","no","no","left","le_granule cell level of the cerebellum"
"86","waxholm",121,"alveus of the hippocampus","no","no","yes","no","left","le_alveus of the hippocampus"
"87","waxholm",122,"inferior cerebellar peduncle","no","no","no","no","left","le_inferior cerebellar peduncle"
"88","waxholm",125,"cingulate cortex, area 2","no","no","no","no","left","le_cingulate cortex, area 2"
"89","waxholm",145,"striatum","no","yes","no","no","left","le_striatum"
"90","waxholm",146,"globus pallidus","no","no","no","no","left","le_globus pallidus"
"91","waxholm",147,"entopeduncular nucleus","no","no","no","no","left","le_entopeduncular nucleus"
"92","waxholm",148,"ventricular system","no","no","no","no","left","le_ventricular system"
"93","waxholm",149,"medial lemniscus","no","no","no","no","left","le_medial lemniscus"
"94","waxholm",150,"facial nerve","no","no","no","no","left","le_facial nerve"
"95","waxholm",151,"anterior commissure, anterior part","no","no","no","no","left","le_anterior commissure, anterior part"
"96","waxholm",152,"anterior commissure, posterior part","no","no","no","no","left","le_anterior commissure, posterior part"
"97","waxholm",153,"ventral hippocampal commissure","no","no","yes","no","left","le_ventral hippocampal commissure"
"98","waxholm",154,"thalamus","no","no","no","no","left","le_thalamus"
"99","waxholm",155,"septal region","no","no","no","no","left","le_septal region"
"100","waxholm",156,"optic nerve","no","no","no","no","left","le_optic nerve"
"101","waxholm",157,"optic tract and optic chiasm","no","no","no","no","left","le_optic tract and optic chiasm"
"102","waxholm",158,"pineal gland","no","no","no","no","left","le_pineal gland"
"103","waxholm",159,"inner ear","no","no","no","no","left","le_inner ear"
"104","waxholm",160,"spinal cord","no","no","no","no","left","le_spinal cord"
"105","waxholm",161,"commissure of the superior colliculus","no","no","no","no","left","le_commissure of the superior colliculus"
"106","waxholm",162,"brainstem","no","no","no","no","left","le_brainstem"
"107","waxholm",163,"hypothalamic region","no","no","no","no","left","le_hypothalamic region"
"108","waxholm",164,"inferior colliculus","no","no","no","no","left","le_inferior colliculus"
"109","waxholm",165,"superficial gray layer of the superior colliculus","no","no","no","no","left","le_superficial gray layer of the superior colliculus"
"110","waxholm",166,"periaqueductal gray","no","no","no","no","left","le_periaqueductal gray"
"111","waxholm",167,"fornix","no","no","no","no","left","le_fornix"
"112","waxholm",168,"mammillothalamic tract","no","no","no","no","left","le_mammillothalamic tract"
"113","waxholm",169,"commissural stria terminalis","no","no","no","no","left","le_commissural stria terminalis"
"114","waxholm",170,"deeper layers of the superior colliculus","no","no","no","no","left","le_deeper layers of the superior colliculus"
"115","waxholm",171,"periventricular gray","no","no","no","no","left","le_periventricular gray"
"116","waxholm",172,"genu of the facial nerve","no","no","no","no","left","le_genu of the facial nerve"
"117","waxholm",173,"pontine nuclei","no","no","no","no","left","le_pontine nuclei"
"118","waxholm",174,"fimbria of the hippocampus","no","no","no","no","left","le_fimbria of the hippocampus"
"119","waxholm",175,"fasciculus retroflexus","no","no","no","no","left","le_fasciculus retroflexus"
"120","waxholm",176,"stria medullaris of the thalamus","no","no","no","no","left","le_stria medullaris of the thalamus"
"121","waxholm",177,"stria terminalis","no","no","no","no","left","le_stria terminalis"
"122","waxholm",178,"posterior commissure","no","no","no","no","left","le_posterior commissure"
"123","waxholm",179,"glomerular layer of the accessory olfactory bulb","no","no","no","no","left","le_glomerular layer of the accessory olfactory bulb"
"124","waxholm",180,"glomerular layer of the olfactory bulb","no","no","no","no","left","le_glomerular layer of the olfactory bulb"
"125","waxholm",181,"olfactory bulb","no","no","no","no","left","le_olfactory bulb"
"126","waxholm",182,"corpus callosum and associated subcortical white matter","no","no","no","yes","left","le_corpus callosum and associated subcortical white matter"
"127","waxholm",183,"brachium of the superior colliculus","no","no","no","no","left","le_brachium of the superior colliculus"
"128","waxholm",184,"commissure of the inferior colliculus","no","no","no","no","left","le_commissure of the inferior colliculus"
"129","waxholm",185,"central canal","no","no","no","no","left","le_central canal"
"130","waxholm",186,"interpeduncular nucleus","no","no","no","no","left","le_interpeduncular nucleus"
"131","waxholm",187,"ascending fibers of the facial nerve","no","no","no","no","left","le_ascending fibers of the facial nerve"
"132","waxholm",188,"anterior commissure","no","no","no","no","left","le_anterior commissure"
"133","waxholm",189,"inferior olive","no","no","no","no","left","le_inferior olive"
"134","waxholm",190,"spinal trigeminal nuclus","no","no","no","no","left","le_spinal trigeminal nuclus"
"135","waxholm",191,"spinal trigeminal tract","no","no","no","no","left","le_spinal trigeminal tract"
"136","waxholm",192,"frontal associiation cortex","no","no","no","no","left","le_frontal associiation cortex"
"137","waxholm",193,"middle cerebellar peduncle","no","no","no","no","left","le_middle cerebellar peduncle"
"138","waxholm",194,"transverse fibers of the pons","no","no","no","no","left","le_transverse fibers of the pons"
"139","waxholm",195,"habenular commissure","no","no","no","no","left","le_habenular commissure"
"140","waxholm",196,"nucleus of the stria medullaris","no","no","no","no","left","le_nucleus of the stria medullaris"
"141","waxholm",197,"basal forebrain region","no","no","no","no","left","le_basal forebrain region"
"142","waxholm",198,"supraoptic decussation","no","no","no","no","left","le_supraoptic decussation"
"143","waxholm",199,"medial lemniscus decussation","no","no","no","no","left","le_medial lemniscus decussation"
"144","waxholm",200,"pyramidal decussation","no","no","no","no","left","le_pyramidal decussation"
"145","waxholm",207,"neocortex","yes","no","no","no","left","le_neocortex"
"146","waxholm",208,"bed nucleus of the stria terminalis","no","no","no","no","left","le_bed nucleus of the stria terminalis"
"147","waxholm",209,"pretectal region","no","no","no","no","left","le_pretectal region"
"148","waxholm",210,"cornu ammonis 3","no","no","yes","no","left","le_cornu ammonis 3"
"149","waxholm",211,"dentate gyrus","no","no","yes","no","left","le_dentate gyrus"
"150","waxholm",212,"cornu ammonis 2","no","no","yes","no","left","le_cornu ammonis 2"
"151","waxholm",213,"cornu ammonis 1","no","no","yes","no","left","le_cornu ammonis 1"
"152","waxholm",214,"fasciola cinereum","no","no","yes","no","left","le_fasciola cinereum"
"153","waxholm",215,"subiculum","no","no","yes","no","left","le_subiculum"
"154","waxholm",223,"postrhinal cortex","no","no","no","no","left","le_postrhinal cortex"
"155","waxholm",224,"presubiculum","no","no","no","no","left","le_presubiculum"
"156","waxholm",225,"parasubiculum","no","no","no","no","left","le_parasubiculum"
"157","waxholm",227,"perirhinal area 35","no","no","no","no","left","le_perirhinal area 35"
"158","waxholm",228,"perirhinal area 36","no","no","no","no","left","le_perirhinal area 36"
"159","waxholm",229,"entorhinal cortex","no","no","no","no","left","le_entorhinal cortex"
"160","waxholm",230,"lateral entorhinal cortex","no","no","no","no","left","le_lateral entorhinal cortex"
